uri,label_en
https://www.congress.gov/help/field-values/legislative-subject-terms#161,American Revolution
https://www.congress.gov/help/field-values/legislative-subject-terms#162,American Samoa
https://www.congress.gov/help/field-values/legislative-subject-terms#163,American investments
https://www.congress.gov/help/field-values/legislative-subject-terms#164,American property in foreign countries
https://www.congress.gov/help/field-values/legislative-subject-terms#165,American studies
https://www.congress.gov/help/field-values/legislative-subject-terms#166,Americans in foreign countries
https://www.congress.gov/help/field-values/legislative-subject-terms#167,Ammonia
https://www.congress.gov/help/field-values/legislative-subject-terms#168,Ammunition
https://www.congress.gov/help/field-values/legislative-subject-terms#169,Amnesties
https://www.congress.gov/help/field-values/legislative-subject-terms#170,Amphibious operations
https://www.congress.gov/help/field-values/legislative-subject-terms#171,Amusement parks
https://www.congress.gov/help/field-values/legislative-subject-terms#172,Anadromous fishes
https://www.congress.gov/help/field-values/legislative-subject-terms#173,Anarchism
https://www.congress.gov/help/field-values/legislative-subject-terms#174,Andorra
https://www.congress.gov/help/field-values/legislative-subject-terms#175,Anesthetics
https://www.congress.gov/help/field-values/legislative-subject-terms#176,Angola
https://www.congress.gov/help/field-values/legislative-subject-terms#177,Anguilla
https://www.congress.gov/help/field-values/legislative-subject-terms#178,Animal and plant health
https://www.congress.gov/help/field-values/legislative-subject-terms#179,Animal behavior
https://www.congress.gov/help/field-values/legislative-subject-terms#180,Animal breeding
https://www.congress.gov/help/field-values/legislative-subject-terms#181,Animal diseases
https://www.congress.gov/help/field-values/legislative-subject-terms#182,Animal protection and human-animal relationships
https://www.congress.gov/help/field-values/legislative-subject-terms#183,Animals
https://www.congress.gov/help/field-values/legislative-subject-terms#184,Annexation (International law)
https://www.congress.gov/help/field-values/legislative-subject-terms#185,Anniversaries
https://www.congress.gov/help/field-values/legislative-subject-terms#186,Annuities
https://www.congress.gov/help/field-values/legislative-subject-terms#187,Antarctic regions
https://www.congress.gov/help/field-values/legislative-subject-terms#188,Antennas
https://www.congress.gov/help/field-values/legislative-subject-terms#189,Anthrax
https://www.congress.gov/help/field-values/legislative-subject-terms#190,Anthropology
https://www.congress.gov/help/field-values/legislative-subject-terms#191,Antiaircraft missiles
https://www.congress.gov/help/field-values/legislative-subject-terms#192,Antibiotics
https://www.congress.gov/help/field-values/legislative-subject-terms#193,Antigua and Barbuda
https://www.congress.gov/help/field-values/legislative-subject-terms#194,Antimissile missiles
https://www.congress.gov/help/field-values/legislative-subject-terms#195,Antisemitism
https://www.congress.gov/help/field-values/legislative-subject-terms#196,Antitrust law
https://www.congress.gov/help/field-values/legislative-subject-terms#197,Anxiety
https://www.congress.gov/help/field-values/legislative-subject-terms#198,Apartment houses
https://www.congress.gov/help/field-values/legislative-subject-terms#199,Appalachia
https://www.congress.gov/help/field-values/legislative-subject-terms#200,Appalachian Regional Commission
https://www.congress.gov/help/field-values/legislative-subject-terms#201,Appellate courts
https://www.congress.gov/help/field-values/legislative-subject-terms#202,Appellate procedure
https://www.congress.gov/help/field-values/legislative-subject-terms#203,Apples
https://www.congress.gov/help/field-values/legislative-subject-terms#204,Apprenticeship
https://www.congress.gov/help/field-values/legislative-subject-terms#205,Appropriations
https://www.congress.gov/help/field-values/legislative-subject-terms#206,Aquaculture
https://www.congress.gov/help/field-values/legislative-subject-terms#207,Aquariums
https://www.congress.gov/help/field-values/legislative-subject-terms#208,Aquatic animals
https://www.congress.gov/help/field-values/legislative-subject-terms#209,Aquatic biology
https://www.congress.gov/help/field-values/legislative-subject-terms#210,Aquatic ecology
https://www.congress.gov/help/field-values/legislative-subject-terms#211,Aquatic pests
https://www.congress.gov/help/field-values/legislative-subject-terms#212,Aquatic plants
https://www.congress.gov/help/field-values/legislative-subject-terms#213,Aquifers
https://www.congress.gov/help/field-values/legislative-subject-terms#214,Arab Americans
https://www.congress.gov/help/field-values/legislative-subject-terms#215,Arab countries
https://www.congress.gov/help/field-values/legislative-subject-terms#216,Arab-Israeli conflict
https://www.congress.gov/help/field-values/legislative-subject-terms#217,Arab-Israeli relations
https://www.congress.gov/help/field-values/legislative-subject-terms#218,Arabs
https://www.congress.gov/help/field-values/legislative-subject-terms#219,Archaeology
https://www.congress.gov/help/field-values/legislative-subject-terms#220,Archaeology and anthropology
https://www.congress.gov/help/field-values/legislative-subject-terms#221,Architect of the Capitol
https://www.congress.gov/help/field-values/legislative-subject-terms#222,Architecture
https://www.congress.gov/help/field-values/legislative-subject-terms#223,Architecture and the disabled
https://www.congress.gov/help/field-values/legislative-subject-terms#224,Archives
https://www.congress.gov/help/field-values/legislative-subject-terms#225,Arctic Ocean
https://www.congress.gov/help/field-values/legislative-subject-terms#226,Arctic and polar regions
https://www.congress.gov/help/field-values/legislative-subject-terms#227,Area studies
https://www.congress.gov/help/field-values/legislative-subject-terms#228,Area studies and international education
https://www.congress.gov/help/field-values/legislative-subject-terms#229,Argentina
https://www.congress.gov/help/field-values/legislative-subject-terms#230,Arid regions
https://www.congress.gov/help/field-values/legislative-subject-terms#231,Arizona
https://www.congress.gov/help/field-values/legislative-subject-terms#232,Arkansas
https://www.congress.gov/help/field-values/legislative-subject-terms#233,Armed Forces Retirement Home
https://www.congress.gov/help/field-values/legislative-subject-terms#234,Armed Forces and National Security
https://www.congress.gov/help/field-values/legislative-subject-terms#235,Armed forces abroad
https://www.congress.gov/help/field-values/legislative-subject-terms#236,Armed forces reserves
https://www.congress.gov/help/field-values/legislative-subject-terms#237,Armenia
https://www.congress.gov/help/field-values/legislative-subject-terms#238,Armistices
https://www.congress.gov/help/field-values/legislative-subject-terms#239,Arms Control and Disarmament Agency
https://www.congress.gov/help/field-values/legislative-subject-terms#240,Arms control
https://www.congress.gov/help/field-values/legislative-subject-terms#241,Arms control agreements
https://www.congress.gov/help/field-values/legislative-subject-terms#242,Arms control and nonproliferation
https://www.congress.gov/help/field-values/legislative-subject-terms#243,Arms control negotiations
https://www.congress.gov/help/field-values/legislative-subject-terms#244,Arms control verification
https://www.congress.gov/help/field-values/legislative-subject-terms#245,Arms race
https://www.congress.gov/help/field-values/legislative-subject-terms#246,Arms sales
https://www.congress.gov/help/field-values/legislative-subject-terms#247,Army
https://www.congress.gov/help/field-values/legislative-subject-terms#248,Army Corps of Engineers
https://www.congress.gov/help/field-values/legislative-subject-terms#249,Arrest
https://www.congress.gov/help/field-values/legislative-subject-terms#250,Arsenic
https://www.congress.gov/help/field-values/legislative-subject-terms#251,Arson
https://www.congress.gov/help/field-values/legislative-subject-terms#252,Art
https://www.congress.gov/help/field-values/legislative-subject-terms#253,"Art, artists, authorship"
https://www.congress.gov/help/field-values/legislative-subject-terms#254,Arthritis
https://www.congress.gov/help/field-values/legislative-subject-terms#255,Artificial implants
https://www.congress.gov/help/field-values/legislative-subject-terms#256,Artificial insemination
https://www.congress.gov/help/field-values/legislative-subject-terms#257,Artificial intelligence
https://www.congress.gov/help/field-values/legislative-subject-terms#258,Artificial satellites
https://www.congress.gov/help/field-values/legislative-subject-terms#259,Artillery
https://www.congress.gov/help/field-values/legislative-subject-terms#260,Artists
https://www.congress.gov/help/field-values/legislative-subject-terms#261,Arts
https://www.congress.gov/help/field-values/legislative-subject-terms#262,"Arts, Culture, Religion"
https://www.congress.gov/help/field-values/legislative-subject-terms#263,Asbestos
https://www.congress.gov/help/field-values/legislative-subject-terms#264,Asia
https://www.congress.gov/help/field-values/legislative-subject-terms#265,Asian American ethnic groups
https://www.congress.gov/help/field-values/legislative-subject-terms#266,Asians
https://www.congress.gov/help/field-values/legislative-subject-terms#267,Aspirin
https://www.congress.gov/help/field-values/legislative-subject-terms#268,Assassination
https://www.congress.gov/help/field-values/legislative-subject-terms#269,Assault
https://www.congress.gov/help/field-values/legislative-subject-terms#270,Assault and harassment offenses
https://www.congress.gov/help/field-values/legislative-subject-terms#271,Assault weapons
https://www.congress.gov/help/field-values/legislative-subject-terms#272,"Associations, institutions, etc."
https://www.congress.gov/help/field-values/legislative-subject-terms#273,Asteroids
https://www.congress.gov/help/field-values/legislative-subject-terms#274,Asthma
https://www.congress.gov/help/field-values/legislative-subject-terms#275,Astronautics
https://www.congress.gov/help/field-values/legislative-subject-terms#276,Astronauts
https://www.congress.gov/help/field-values/legislative-subject-terms#277,Astronomy
https://www.congress.gov/help/field-values/legislative-subject-terms#278,Astrophysics
https://www.congress.gov/help/field-values/legislative-subject-terms#279,Athletes
https://www.congress.gov/help/field-values/legislative-subject-terms#280,Athletics
https://www.congress.gov/help/field-values/legislative-subject-terms#281,Atlantic Coast (U.S.)
https://www.congress.gov/help/field-values/legislative-subject-terms#282,Atlantic Ocean
https://www.congress.gov/help/field-values/legislative-subject-terms#283,Atmosphere
https://www.congress.gov/help/field-values/legislative-subject-terms#284,Atmospheric science and weather
https://www.congress.gov/help/field-values/legislative-subject-terms#285,Attention deficit disorders
https://www.congress.gov/help/field-values/legislative-subject-terms#286,Attorney-client privilege
https://www.congress.gov/help/field-values/legislative-subject-terms#287,Attorneys general
https://www.congress.gov/help/field-values/legislative-subject-terms#288,Auctions
https://www.congress.gov/help/field-values/legislative-subject-terms#289,Audiovisual education
https://www.congress.gov/help/field-values/legislative-subject-terms#290,Auditing
https://www.congress.gov/help/field-values/legislative-subject-terms#291,Auditing and auditors
https://www.congress.gov/help/field-values/legislative-subject-terms#292,Australia
https://www.congress.gov/help/field-values/legislative-subject-terms#293,Austria
https://www.congress.gov/help/field-values/legislative-subject-terms#294,Authoritarianism
https://www.congress.gov/help/field-values/legislative-subject-terms#295,Authorization
https://www.congress.gov/help/field-values/legislative-subject-terms#296,Authors and authorship
https://www.congress.gov/help/field-values/legislative-subject-terms#297,Autism
https://www.congress.gov/help/field-values/legislative-subject-terms#298,Autoimmune diseases
https://www.congress.gov/help/field-values/legislative-subject-terms#299,Automated clearing houses
https://www.congress.gov/help/field-values/legislative-subject-terms#300,Automated teller machines
https://www.congress.gov/help/field-values/legislative-subject-terms#301,Automation
https://www.congress.gov/help/field-values/legislative-subject-terms#302,Automobile drivers
https://www.congress.gov/help/field-values/legislative-subject-terms#303,Automobile engines
https://www.congress.gov/help/field-values/legislative-subject-terms#304,Automobile industry
https://www.congress.gov/help/field-values/legislative-subject-terms#305,Automobile insurance
https://www.congress.gov/help/field-values/legislative-subject-terms#306,Automobile parts
https://www.congress.gov/help/field-values/legislative-subject-terms#307,Automobile repair
https://www.congress.gov/help/field-values/legislative-subject-terms#308,Automobile theft
https://www.congress.gov/help/field-values/legislative-subject-terms#309,Automobile tires
